account_number;agreement_number;account_type;name;balance;debit_credit;block_direct_entries;vat_code;self_url;created_at;updated_at;Mapping;Category
2208;1382005;profitAndLoss;Lønninger (Mylo);0;debit;0;\N;https://restapi.e-conomic.com/accounts/2208;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2209;1382005;profitAndLoss;Lønninger Timeløn;300388,42;debit;0;\N;https://restapi.e-conomic.com/accounts/2209;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2210;1382005;profitAndLoss;Lønninger;3041612,87;debit;0;\N;https://restapi.e-conomic.com/accounts/2210;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2211;1382005;profitAndLoss;Feriepenge & SH;0;debit;0;\N;https://restapi.e-conomic.com/accounts/2211;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2212;1382005;profitAndLoss;Feriepenge OGP;0;debit;0;\N;https://restapi.e-conomic.com/accounts/2212;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2213;1382005;profitAndLoss;B-honorar;0;debit;0;\N;https://restapi.e-conomic.com/accounts/2213;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2214;1382005;profitAndLoss;Personalegoder og multimedier - BESKATNING;-5225;debit;0;\N;https://restapi.e-conomic.com/accounts/2214;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2215;1382005;profitAndLoss;Pensioner, arbejdsgiver;167674,97;debit;0;\N;https://restapi.e-conomic.com/accounts/2215;10/04/2025 10.33;01/05/2025 15.59;Pension Costs;Income Statement
2216;1382005;profitAndLoss;Viderefakturering personale;-120967,8;debit;0;U25;https://restapi.e-conomic.com/accounts/2216;10/04/2025 10.33;01/05/2025 15.59;People  Re-imbursement;Income Statement
2217;1382005;profitAndLoss;Pensioner, medarbejder;132386,73;debit;0;\N;https://restapi.e-conomic.com/accounts/2217;10/04/2025 10.33;01/05/2025 15.59;Pension Costs;Income Statement
2218;1382005;profitAndLoss;Lønrefusion;0;debit;0;\N;https://restapi.e-conomic.com/accounts/2218;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2219;1382005;profitAndLoss;Afsat bonus;0;debit;0;\N;https://restapi.e-conomic.com/accounts/2219;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2222;1382005;profitAndLoss;AER (Samlet betaling);57163,39;debit;0;\N;https://restapi.e-conomic.com/accounts/2222;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2223;1382005;profitAndLoss;ATP;19899;debit;0;\N;https://restapi.e-conomic.com/accounts/2223;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2224;1382005;profitAndLoss;DA-barsel;0;debit;0;\N;https://restapi.e-conomic.com/accounts/2224;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2225;1382005;profitAndLoss;Kost medarbejder (frokost);25420;debit;0;\N;https://restapi.e-conomic.com/accounts/2225;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2230;1382005;profitAndLoss;KM-penge;0;debit;0;\N;https://restapi.e-conomic.com/accounts/2230;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2240;1382005;profitAndLoss;Personale arrangementer;567,68;debit;0;\N;https://restapi.e-conomic.com/accounts/2240;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2241;1382005;profitAndLoss;Personalefortæring;37749,29;debit;0;\N;https://restapi.e-conomic.com/accounts/2241;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2242;1382005;profitAndLoss;løngebyr;2500;debit;0;I25;https://restapi.e-conomic.com/accounts/2242;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2243;1382005;profitAndLoss;Personaleudgifter;10804,02;debit;0;\N;https://restapi.e-conomic.com/accounts/2243;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2244;1382005;profitAndLoss;Arbejdstøj;0;debit;0;I25;https://restapi.e-conomic.com/accounts/2244;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2280;1382005;profitAndLoss;Feriepengeforpligtelse, reg.;99510,95;debit;0;\N;https://restapi.e-conomic.com/accounts/2280;10/04/2025 10.33;01/05/2025 15.59;Salaries etc.;Income Statement
2299;1382005;totalFrom;Lønninger i alt;3769484,52;debit;0;\N;https://restapi.e-conomic.com/accounts/2299;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
2500;1382005;heading;Kapacitetsomkostninger;0;debit;0;\N;https://restapi.e-conomic.com/accounts/2500;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
2700;1382005;heading;Salgs- og rejseomkostninger;0;debit;0;\N;https://restapi.e-conomic.com/accounts/2700;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
2750;1382005;profitAndLoss;Restaurationsbesøg;3924,53;debit;0;REP;https://restapi.e-conomic.com/accounts/2750;10/04/2025 10.33;01/05/2025 15.59;Travel and marketing;Income Statement
2754;1382005;profitAndLoss;Gaver og blomster;4438,33;debit;0;\N;https://restapi.e-conomic.com/accounts/2754;10/04/2025 10.33;01/05/2025 15.59;Travel and marketing;Income Statement
2755;1382005;profitAndLoss;Møde forplejning egne lokaler;854,7;debit;0;\N;https://restapi.e-conomic.com/accounts/2755;10/04/2025 10.33;01/05/2025 15.59;Travel and marketing;Income Statement
